param_set,Nb,N,u_per_site,Gs,n_shared_mutations
10407_rep0,86,124692986,3.029850322580392e-09,828,5
10408_rep0,3,133917105,6.845375220202074e-09,4223,4
10409_rep0,138,6550186391,1.6349363611713143e-09,5890,3
1040_rep0,220,180130755,5.533349973965194e-09,1687,16
10410_rep0,18,3128659278,5.207650170494841e-09,336,6
10411_rep0,779,359501195,2.1298516316555222e-09,9729,17
10412_rep0,60,782557686,3.208544428721455e-09,8746,4
10413_rep0,1,1199139980,2.434008791571166e-09,1358,4
10414_rep0,342,5330016790,7.718176267090896e-09,7028,21
10416_rep0,166,226356591,8.432985398937977e-09,8995,17
10417_rep0,2,4629116348,1.138925276747587e-09,1070,1
10418_rep0,942,1040286943,3.639997961686609e-09,5464,44
1041_rep0,12,4953122998,2.314666536975529e-09,8378,1
10420_rep0,1,414507345,5.2945547947361865e-09,3317,2
10421_rep0,53,2704308106,2.251177806931065e-09,6758,2
10422_rep0,7,5655320178,7.227254024747958e-09,2557,7
10423_rep0,299,154234387,1.6640749541044054e-09,7546,13
10424_rep0,11,108301966,3.871088041805324e-09,7250,3
10425_rep0,180,9331997319,2.865126240160794e-09,2883,5
10428_rep0,618,626978813,5.737927852224921e-09,634,59
10429_rep0,23,1724468282,1.3489129277042306e-09,9489,3
1042_rep0,38,1331726808,7.274009803911298e-09,2795,3
10430_rep0,110,3741005287,4.239031506857819e-09,3867,8
10432_rep0,80,251914404,4.056627278727546e-09,2772,1
10434_rep0,456,1655695607,9.398373454464178e-09,1710,60
10435_rep0,25,607078080,1.2678484119995874e-09,8403,1
10436_rep0,1,431250906,6.490461404750233e-09,9388,3
10438_rep0,10,9715395664,4.754712928032279e-09,6154,5
10439_rep0,249,111677979,2.019423194817177e-09,3950,8
10440_rep0,6,160662499,7.550116731559406e-09,1181,7
10441_rep0,417,5841611702,1.0341217186025424e-09,8951,5
10442_rep0,1,2594672080,3.231562415895459e-09,4712,2
10443_rep0,74,401524701,2.394458143511979e-09,5372,1
10444_rep0,668,869500688,5.070895502750182e-09,6860,27
10445_rep0,18,1008975576,2.2063488660837714e-09,3264,3
10446_rep0,120,4815973102,6.863809782457593e-09,7619,8
10447_rep0,3,233514393,1.6154244347297719e-09,2475,1
10448_rep0,309,201898692,6.982251953133207e-09,5953,41
1044_rep0,22,332768381,8.238646110693041e-09,6141,5
10450_rep0,55,1161726409,5.362788652085301e-09,9840,4
10451_rep0,1,750923436,2.241919789230938e-09,292,2
10453_rep0,853,3005179900,2.717959898925504e-09,8664,22
10454_rep0,2,6758137703,8.579888148426464e-09,3148,3
10455_rep0,152,139340008,1.1292544014473355e-09,6975,2
10456_rep0,3,128727557,4.347120857447594e-09,7901,3
10457_rep0,97,8400352484,1.7799255370065724e-09,2212,3
10458_rep0,22,1821081359,5.7143327048545825e-09,6480,7
10459_rep0,551,496527941,1.366298134640999e-09,3584,9
1045_rep0,544,2868282595,1.084884214941636e-09,3934,8
10460_rep0,38,703103398,9.233033718158272e-09,4916,9
10461_rep0,2,1437648190,1.2009466092044955e-09,5188,2
10462_rep0,217,3349121589,3.838216331185699e-09,727,13
10463_rep0,12,291437508,2.9150347627624132e-09,9348,3
10464_rep0,1,304316106,9.946603989997026e-09,7081,6
10465_rep0,63,3497844760,1.2877075727492967e-09,3023,2
10466_rep0,5,1395484279,4.134632930224977e-09,8461,3
10467_rep0,362,682340896,3.1257926697067214e-09,1614,10
10468_rep0,130,559778687,4.661808415412454e-09,167,7
10469_rep0,3,2052635772,1.917208418068405e-09,9946,1
10470_rep0,741,7620487661,6.12831542540379e-09,4315,61
10471_rep0,19,116801092,1.4716009955742846e-09,5750,1
10472_rep0,509,145520911,3.280739300613006e-09,9165,24
